rowname,direction,time
Note_001,Up,0.46
Note_002,Left,0.8886
Note_003,Up,1.3171
Note_004,Left,1.7457
Note_005,Up,1.96
Note_006,Right,2.1743
Note_007,Down,2.3886
Note_008,Left,2.6029
Note_009,Up,2.8171
Note_010,Right,3.0314
Note_011,Down,3.2457
Note_012,Left,3.46
Note_013,Right,3.6743
Note_014,Down,3.8886
Note_015,Right,4.1029
Note_016,Down,4.3171
Note_017,Up,4.5314
Note_018,Right,4.7457
Note_019,Left,4.96
Note_020,Down,5.1743
Note_021,Left,5.3886
Note_022,Right,5.6029
Note_023,Left,5.8171
Note_024,Left,6.2457
Note_025,Down,6.6743
Note_026,Left,7.1029
Note_027,Right,7.5314
Note_028,Right,7.96
Note_029,Right,8.3886
Note_030,Down,8.8171
Note_031,Right,9.2457
Note_032,Down,9.6743
Note_033,Left,10.1029
Note_034,Right,10.5314
Note_035,Up,10.96
Note_036,Up,11.3886
Note_037,Right,11.8171
Note_038,Down,12.2457
Note_039,Left,12.46
Note_040,Down,12.6743
Note_041,Up,12.8886
Note_042,Right,13.1029
Note_043,Left,13.3171
Note_044,Down,13.5314
Note_045,Up,13.7457
Note_046,Right,13.96
Note_047,Left,14.1743
Note_048,Down,14.3886
Note_049,Left,14.6029
Note_050,Up,14.8171
Note_051,Right,15.0314
Note_052,Left,15.2457
Note_053,Up,15.46
Note_054,Left,15.6743
Note_055,Down,15.8886
Note_056,Right,16.1029
Note_057,Left,16.3171
Note_058,Down,16.5314
Note_059,Left,16.7457
Note_060,Down,16.96
Note_061,Right,17.1743
Note_062,Down,17.3886
Note_063,Up,17.6029
Note_064,Down,17.8171
Note_065,Left,18.0314
Note_066,Right,18.2457
Note_067,Down,18.46
Note_068,Left,18.6743
Note_069,Down,18.8886
Note_070,Right,19.1029
Note_071,Left,19.3171
Note_072,Down,19.5314
Note_073,Left,19.7457
Note_074,Right,19.96
Note_075,Down,20.1743
Note_076,Right,20.3886
Note_077,Down,20.6029
Note_078,Right,20.8171
Note_079,Down,21.2457
Note_080,Up,21.6743
Note_081,Down,22.1029
Note_082,Right,22.5314
Note_083,Right,22.96
Note_084,Right,23.3886
Note_085,Up,23.8171
Note_086,Up,24.2457
Note_087,Right,24.6743
Note_088,Down,24.8886
Note_089,Right,25.1029
Note_090,Up,25.3171
Note_091,Left,25.5314
Note_092,Down,25.7457
Note_093,Right,25.96
Note_094,Down,26.1743
Note_095,Up,26.6029
Note_096,Up,27.0314
Note_097,Right,27.46
Note_098,Down,27.8886
Note_099,Up,28.3171
Note_100,Right,28.7457
Note_101,Up,28.8529
Note_102,Down,28.96
Note_103,Left,29.0671
Note_104,Left,29.3886
Note_105,Up,29.8171
Note_106,Right,30.2457
Note_107,Up,30.6743
Note_108,Down,31.1029
Note_109,Left,31.21
Note_110,Down,31.3171
Note_111,Left,31.4243
Note_112,Down,31.7457
Note_113,Up,31.8529
Note_114,Right,31.96
Note_115,Down,32.0671
Note_116,Right,32.1743
Note_117,Left,32.2814
Note_118,Right,32.3886
Note_119,Left,32.4957
Note_120,Down,32.8171
Note_121,Right,32.9243
Note_122,Left,33.0314
Note_123,Up,33.1386
Note_124,Right,33.46
Note_125,Left,33.6743
Note_126,Right,33.8886
Note_127,Left,34.1029
Note_128,Up,34.3171
Note_129,Right,34.5314
Note_130,Up,34.7457
Note_131,Down,34.96
Note_132,Right,35.1743
Note_133,Down,35.3886
Note_134,Right,35.6029
Note_135,Up,35.8171
Note_136,Left,36.2457
Note_137,Left,36.6743
Note_138,Left,37.1029
Note_139,Up,37.5314
Note_140,Down,37.7457
Note_141,Up,37.96
Note_142,Right,38.1743
Note_143,Left,38.3886
Note_144,Down,38.6029
Note_145,Right,39.0314
Note_146,Up,39.46
Note_147,Left,39.8886
Note_148,Up,40.3171
Note_149,Down,40.7457
Note_150,Left,40.8529
Note_151,Down,40.96
Note_152,Up,41.0671
Note_153,Right,41.1743
Note_154,Down,41.2814
Note_155,Up,41.3886
Note_156,Left,41.4957
Note_157,Up,41.8171
Note_158,Left,42.0314
Note_159,Right,42.2457
Note_160,Up,42.46
Note_161,Down,42.6743
Note_162,Up,42.8886
Note_163,Down,43.1029
Note_164,Up,43.3171
Note_165,Down,43.5314
Note_166,Left,43.7457
Note_167,Down,43.96
Note_168,Up,44.1743
Note_169,Left,44.3886
Note_170,Down,44.6029
Note_171,Right,44.8171
Note_172,Up,45.0314
Note_173,Left,45.46
Note_174,Right,45.8886
Note_175,Left,46.3171
Note_176,Right,46.7457
Note_177,Down,46.96
Note_178,Left,47.1743
Note_179,Down,47.3886
Note_180,Left,47.6029
Note_181,Up,47.8171
Note_182,Down,48.0314
Note_183,Right,48.2457
Note_184,Down,48.46
Note_185,Up,48.6743
Note_186,Down,48.8886
Note_187,Up,49.1029
Note_188,Right,49.3171
Note_189,Down,49.5314
Note_190,Up,49.7457
Note_191,Right,49.96
Note_192,Down,50.1743
Note_193,Right,50.3886
Note_194,Down,50.6029
Note_195,Left,50.8171
Note_196,Up,51.0314
Note_197,Down,51.2457
Note_198,Right,51.46
Note_199,Down,51.6743
Note_200,Right,51.8886
Note_201,Up,52.1029
Note_202,Left,52.3171
Note_203,Right,52.5314
Note_204,Down,52.7457
Note_205,Left,52.96
Note_206,Up,53.1743
Note_207,Left,53.3886
Note_208,Right,53.6029
Note_209,Up,53.8171
Note_210,Right,54.0314
Note_211,Left,54.2457
Note_212,Up,54.46
Note_213,Left,54.6743
Note_214,Down,54.8886
Note_215,Up,55.1029
Note_216,Down,55.3171
Note_217,Up,55.5314
Note_218,Down,55.7457
Note_219,Right,55.96
Note_220,Down,56.1743
Note_221,Right,56.3886
Note_222,Left,56.6029
Note_223,Down,56.8171
Note_224,Up,57.0314
Note_225,Left,57.2457
Note_226,Right,57.46
Note_227,Down,57.6743
Note_228,Right,57.8886
Note_229,Up,58.3171
Note_230,Up,58.7457
Note_231,Right,59.1743
Note_232,Up,59.6029
Note_233,Down,60.0314
Note_234,Right,60.46
Note_235,Down,60.8886
Note_236,Left,61.3171
Note_237,Up,61.7457
Note_238,Down,61.8529
Note_239,Up,61.96
Note_240,Left,62.0671
Note_241,Left,62.3886
Note_242,Up,62.8171
Note_243,Right,63.2457
Note_244,Down,63.6743
Note_245,Left,64.1029
Note_246,Left,64.5314
Note_247,Down,64.96
Note_248,Up,65.0671
Note_249,Right,65.1743
Note_250,Up,65.2814
Note_251,Right,65.3886
Note_252,Up,65.4957
Note_253,Right,65.6029
Note_254,Down,65.71
Note_255,Right,66.0314
Note_256,Down,66.46
Note_257,Right,66.8886
Note_258,Left,67.3171
Note_259,Up,67.7457
Note_260,Right,68.1743
Note_261,Up,68.6029
Note_262,Left,69.0314
Note_263,Up,69.2457
Note_264,Down,69.46
Note_265,Right,69.6743
Note_266,Down,69.8886
Note_267,Left,70.1029
Note_268,Up,70.3171
Note_269,Left,70.5314
Note_270,Right,70.7457
Note_271,Down,70.96
Note_272,Up,71.1743
Note_273,Down,71.3886
Note_274,Up,71.6029
Note_275,Right,71.8171
Note_276,Right,72.2457
Note_277,Up,72.6743
Note_278,Left,73.1029
Note_279,Right,73.21
Note_280,Left,73.3171
Note_281,Right,73.4243
Note_282,Down,73.5314
Note_283,Right,73.6386
Note_284,Left,73.7457
Note_285,Down,73.8529
Note_286,Up,74.1743
Note_287,Right,74.3886
Note_288,Up,74.6029
Note_289,Right,74.8171
Note_290,Down,75.0314
Note_291,Left,75.2457
Note_292,Down,75.46
Note_293,Left,75.6743
Note_294,Down,75.8886
Note_295,Up,76.1029
Note_296,Down,76.3171
Note_297,Right,76.4243
Note_298,Up,76.5314
Note_299,Down,76.6386
Note_300,Up,76.7457
Note_301,Left,76.8529
Note_302,Up,76.96
Note_303,Left,77.0671
Note_304,Up,77.3886
Note_305,Left,77.6029
Note_306,Up,77.8171
Note_307,Right,78.0314
Note_308,Down,78.2457
Note_309,Left,78.46
Note_310,Right,78.6743
Note_311,Down,78.8886
Note_312,Up,79.1029
Note_313,Left,79.3171
Note_314,Down,79.5314
Note_315,Right,79.6386
Note_316,Up,79.7457
Note_317,Left,79.8529
Note_318,Right,79.96
Note_319,Left,80.0671
Note_320,Down,80.1743
Note_321,Up,80.2814
Note_322,Up,80.6029
Note_323,Left,81.0314
Note_324,Right,81.46
Note_325,Down,81.6743
Note_326,Up,81.8886
Note_327,Right,82.1029
Note_328,Up,82.3171
Note_329,Down,82.5314
Note_330,Up,82.7457
Note_331,Down,82.96
Note_332,Left,83.1743
Note_333,Right,83.3886
Note_334,Down,83.6029
Note_335,Up,83.8171
Note_336,Down,84.0314
Note_337,Right,84.2457
Note_338,Down,84.46
Note_339,Left,84.6743
Note_340,Right,84.8886
Note_341,Down,85.1029
Note_342,Right,85.3171
Note_343,Left,85.5314
Note_344,Down,85.7457
Note_345,Up,85.96
Note_346,Right,86.1743
Note_347,Down,86.3886
Note_348,Right,86.6029
Note_349,Down,86.8171
Note_350,Up,87.0314
Note_351,Left,87.2457
Note_352,Up,87.46
Note_353,Right,87.6743
Note_354,Left,87.8886
Note_355,Right,88.1029
Note_356,Up,88.3171
Note_357,Left,88.5314
Note_358,Right,88.7457
Note_359,Down,88.96
Note_360,Up,89.1743
Note_361,Right,89.3886
Note_362,Left,89.6029
Note_363,Right,89.8171
Note_364,Up,90.0314
Note_365,Left,90.2457
Note_366,Right,90.46
Note_367,Down,90.6743
Note_368,Right,90.8886
Note_369,Down,91.1029
Note_370,Left,91.3171
Note_371,Up,91.5314
Note_372,Right,91.7457
Note_373,Up,91.96
Note_374,Left,92.1743
Note_375,Right,92.3886
Note_376,Down,92.6029
Note_377,Left,92.8171
Note_378,Up,93.0314
Note_379,Right,93.2457
Note_380,Down,93.46
Note_381,Right,93.6743
Note_382,Left,93.8886
Note_383,Down,94.1029
Note_384,Up,94.3171
Note_385,Down,94.5314
Note_386,Left,94.7457
Note_387,Down,94.8529
Note_388,Left,94.96
Note_389,Down,95.0671
Note_390,Left,95.1743
Note_391,Down,95.2814
Note_392,Up,95.3886
Note_393,Down,95.4957
Note_394,Down,95.8171
Note_395,Up,96.2457
Note_396,Right,96.6743
Note_397,Right,97.1029
Note_398,Up,97.5314
Note_399,Down,97.7457
Note_400,Right,97.96
Note_401,Up,98.1743
Note_402,Left,98.3886
Note_403,Right,98.6029
Note_404,Down,98.8171
Note_405,Left,99.0314
Note_406,Right,99.2457
Note_407,Left,99.46
Note_408,Right,99.6743
Note_409,Down,99.8886
Note_410,Right,100.1029
Note_411,Down,100.3171
Note_412,Left,100.5314
Note_413,Up,100.7457
Note_414,Right,100.96
Note_415,Right,101.3886
Note_416,Down,101.8171
Note_417,Right,102.2457
Note_418,Right,102.6743
Note_419,Up,103.1029
Note_420,Right,103.5314
Note_421,Left,103.6386
Note_422,Down,103.7457
Note_423,Up,103.8529
Note_424,Right,103.96
Note_425,Down,104.0671
Note_426,Left,104.1743
Note_427,Right,104.2814
Note_428,Left,104.6029
Note_429,Down,104.8171
Note_430,Right,105.0314
Note_431,Down,105.2457
Note_432,Right,105.46
Note_433,Down,105.6743
Note_434,Left,105.8886
Note_435,Up,106.1029
Note_436,Left,106.3171
Note_437,Up,106.5314
Note_438,Right,106.7457
Note_439,Down,106.96
Note_440,Right,107.1743
Note_441,Left,107.3886
Note_442,Down,107.6029
Note_443,Left,107.8171
Note_444,Right,108.0314
Note_445,Down,108.2457
Note_446,Right,108.46
Note_447,Up,108.6743
Note_448,Left,108.8886
Note_449,Right,109.1029
Note_450,Up,109.3171
Note_451,Left,109.5314
Note_452,Right,109.7457
Note_453,Up,109.96
