rowname,direction,time
Note_001,Up,0.46
Note_002,Left,0.96
Note_003,Up,1.21
Note_004,Left,1.46
Note_005,Left,1.96
Note_006,Right,2.46
Note_007,Right,2.71
Note_008,Right,2.96
Note_009,Right,3.46
Note_010,Down,3.96
Note_011,Up,4.46
Note_012,Left,4.96
Note_013,Right,5.46
Note_014,Down,5.96
Note_015,Up,6.21
Note_016,Up,6.46
Note_017,Right,6.96
Note_018,Left,7.21
Note_019,Up,7.46
Note_020,Down,7.96
Note_021,Left,8.21
Note_022,Down,8.46
Note_023,Down,8.96
Note_024,Down,9.46
Note_025,Left,9.96
Note_026,Right,10.46
Note_027,Down,10.71
Note_028,Left,10.96
Note_029,Right,11.46
Note_030,Down,11.71
Note_031,Left,11.96
Note_032,Down,12.46
Note_033,Right,12.96
Note_034,Left,13.46
Note_035,Left,13.96
Note_036,Down,14.46
Note_037,Down,14.96
Note_038,Left,15.46
Note_039,Right,15.71
Note_040,Up,15.96
Note_041,Up,16.46
Note_042,Up,16.96
Note_043,Right,17.21
Note_044,Up,17.46
Note_045,Down,17.96
Note_046,Up,18.46
Note_047,Left,18.96
Note_048,Down,19.46
Note_049,Right,19.96
Note_050,Up,20.46
Note_051,Down,20.96
Note_052,Up,21.46
Note_053,Left,21.96
Note_054,Left,22.46
Note_055,Up,22.71
Note_056,Up,22.96
Note_057,Right,23.46
Note_058,Left,23.96
Note_059,Right,24.46
Note_060,Left,24.71
Note_061,Right,24.96
Note_062,Up,25.46
Note_063,Right,25.96
Note_064,Right,26.46
Note_065,Down,26.96
Note_066,Down,27.46
Note_067,Left,27.71
Note_068,Right,27.96
Note_069,Right,28.21
Note_070,Up,28.46
Note_071,Right,28.96
Note_072,Up,29.21
Note_073,Right,29.46
Note_074,Down,29.71
Note_075,Up,29.96
Note_076,Left,30.46
Note_077,Up,30.96
Note_078,Right,31.46
Note_079,Left,31.96
Note_080,Down,32.46
Note_081,Down,32.96
Note_082,Left,33.46
Note_083,Up,33.96
Note_084,Up,34.46
Note_085,Up,34.96
Note_086,Left,35.21
Note_087,Up,35.46
Note_088,Up,35.71
Note_089,Right,35.96
Note_090,Down,36.46
Note_091,Right,36.96
Note_092,Down,37.21
Note_093,Right,37.46
Note_094,Down,37.71
Note_095,Left,37.96
Note_096,Left,38.21
Note_097,Up,38.46
Note_098,Down,38.96
Note_099,Up,39.46
Note_100,Right,39.96
Note_101,Down,40.46
Note_102,Right,40.96
Note_103,Down,41.46
Note_104,Up,41.71
Note_105,Down,41.96
Note_106,Up,42.46
Note_107,Right,42.71
Note_108,Up,42.96
Note_109,Down,43.46
Note_110,Right,43.96
Note_111,Up,44.21
Note_112,Left,44.46
Note_113,Down,44.71
Note_114,Down,44.96
Note_115,Right,45.46
Note_116,Left,45.96
Note_117,Down,46.21
Note_118,Left,46.46
Note_119,Right,46.96
Note_120,Up,47.46
Note_121,Down,47.96
Note_122,Left,48.21
Note_123,Right,48.46
Note_124,Up,48.96
Note_125,Up,49.46
Note_126,Down,49.96
Note_127,Left,50.21
Note_128,Right,50.46
Note_129,Down,50.96
Note_130,Left,51.46
Note_131,Left,51.71
Note_132,Down,51.96
Note_133,Down,52.21
Note_134,Left,52.46
Note_135,Up,52.71
Note_136,Right,52.96
Note_137,Right,53.46
Note_138,Up,53.71
Note_139,Down,53.96
Note_140,Up,54.46
Note_141,Left,54.96
Note_142,Right,55.46
Note_143,Up,55.96
Note_144,Right,56.46
Note_145,Up,56.71
Note_146,Down,56.96
Note_147,Right,57.21
Note_148,Left,57.46
Note_149,Down,57.71
Note_150,Up,57.96
Note_151,Down,58.46
Note_152,Down,58.71
Note_153,Right,58.96
Note_154,Down,59.46
Note_155,Down,59.96
Note_156,Up,60.46
Note_157,Left,60.96
Note_158,Left,61.46
Note_159,Left,61.96
Note_160,Up,62.46
Note_161,Up,62.96
Note_162,Left,63.46
Note_163,Down,63.96
Note_164,Right,64.46
Note_165,Down,64.96
Note_166,Right,65.46
Note_167,Right,65.71
Note_168,Up,65.96
Note_169,Right,66.46
Note_170,Right,66.96
Note_171,Left,67.21
Note_172,Up,67.46
Note_173,Up,67.71
Note_174,Right,67.96
Note_175,Down,68.46
Note_176,Down,68.96
Note_177,Left,69.46
Note_178,Left,69.96
Note_179,Right,70.46
Note_180,Up,70.96
Note_181,Down,71.21
Note_182,Right,71.46
Note_183,Down,71.96
Note_184,Up,72.46
Note_185,Right,72.96
Note_186,Left,73.46
Note_187,Left,73.71
Note_188,Down,73.96
Note_189,Left,74.46
Note_190,Down,74.71
Note_191,Up,74.96
Note_192,Right,75.21
Note_193,Left,75.46
Note_194,Left,75.96
Note_195,Right,76.46
Note_196,Up,76.96
Note_197,Down,77.46
Note_198,Right,77.71
Note_199,Up,77.96
Note_200,Right,78.46
Note_201,Right,78.71
Note_202,Right,78.96
Note_203,Left,79.21
Note_204,Right,79.46
Note_205,Left,79.71
Note_206,Right,79.96
Note_207,Right,80.46
Note_208,Right,80.96
Note_209,Down,81.46
Note_210,Down,81.96
Note_211,Up,82.21
Note_212,Left,82.46
Note_213,Up,82.96
Note_214,Up,83.46
Note_215,Left,83.96
Note_216,Up,84.21
Note_217,Left,84.46
Note_218,Left,84.71
Note_219,Left,84.96
Note_220,Right,85.21
Note_221,Up,85.46
Note_222,Down,85.96
Note_223,Right,86.21
Note_224,Down,86.46
Note_225,Down,86.96
Note_226,Down,87.46
Note_227,Right,87.96
Note_228,Left,88.21
Note_229,Up,88.46
Note_230,Down,88.71
Note_231,Down,88.96
Note_232,Down,89.21
Note_233,Up,89.46
Note_234,Down,89.96
Note_235,Right,90.46
Note_236,Up,90.96
Note_237,Left,91.46
Note_238,Up,91.96
Note_239,Left,92.46
Note_240,Right,92.96
Note_241,Left,93.46
Note_242,Up,93.96
Note_243,Down,94.21
Note_244,Right,94.46
Note_245,Left,94.96
Note_246,Left,95.21
Note_247,Up,95.46
Note_248,Down,95.71
Note_249,Down,95.96
Note_250,Right,96.46
Note_251,Left,96.71
Note_252,Up,96.96
Note_253,Right,97.46
